id,name,country,type,logo,url,description
bolu-university,Bolu University,Turkey,Public,,,
karabuk-university,Karabük University,Turkey,Public,,,
cankiri-university,Çank?r? University,Turkey,Public,,,
balikesir-university,Bal?kesir University,Turkey,Public,,,
tirakya-university,T?rakya University,Turkey,Public,,,
nigde-university,Ni?de University,Turkey,Public,,,
kirsehir-university,K?r?ehir University,Turkey,Public,,,
gumushane-university,Gümü?hane University,Turkey,Public,,,
sakarya-uygulamali-bilimler-university,Sakarya Uygulamal? Bilimler University,Turkey,Public,,,
